# Fail-closed state for the only package that may currently run autonomously.
# Update this file in the same commit as the completed report.  SELF means that
# the completion commit is the commit that contains this state update.
# package_status must be ACTIVE or CLOSED; report_status must be PENDING, IN_PROGRESS, COMPLETE, or BLOCKED.
# approval_evidence must link to the user-approved full scope and closure criterion.
package_id	stage	package_status	approved_at	approval_evidence
global_stage3_review_2026-08-21	STAGE_3_GLOBAL_REVIEW	ACTIVE	2026-08-21	docs/reports/global_stage3_review_authorization_2026-08-21.md

report_id	report_status	completion_commit
sales_interactions	COMPLETE	SELF
membership_receipts	COMPLETE	SELF
children_package_sales	COMPLETE	SELF
newcomer_guest_visits	COMPLETE	SELF
calls_report	COMPLETE	SELF
visits_debt	COMPLETE	SELF
work_attendance	COMPLETE	SELF
administrator_card	COMPLETE	SELF
marketing_funnel	COMPLETE	SELF
membership_board	COMPLETE	SELF
revenue_group_summary	COMPLETE	SELF
ip_revenue	COMPLETE	SELF
reception_revenue	COMPLETE	SELF
revenue_refresh_chain	COMPLETE	SELF
client_base	COMPLETE	SELF
kpi_fitness	COMPLETE	SELF
project_stage_gate_review	IN_PROGRESS	-
